name,constant,operant,region,atlas_id
agec,47.5830239,([patient_age] - agec),,DKT40  
agec,47.5634617,([patient_age] - agec),,SUBCOR 
eTIVc,1521907.28,([eTIV] - eTIVc),,SUBCOR 
eTIVc,1528926.15,([eTIV] - eTIVc),,DKT40  
NORME,0,Z=(Volume-(Intercept+(agec1)+(agec2)+(agec3)+(sexq)+(eTIVc1)+(eTIVc2)+(eTIVc3)+(MFSq)+(GE)+(Philips)+(GE_X_MFSq)+(PHILIPS_X_MFSq)+(eTIVc_X_MFSq)+(AGEc_X_SEXq)+(eTIVc_X_GE)+(eTIVc_X_PHILIPS)))/RMSE,,SUBCOR 
NORME,0,Z=(Volume-(Intercept+(agec1)+(agec2)+(agec3)+(sexq)+(eTIVc1)+(eTIVc2)+(eTIVc3)+(MFSq)+(GE)+(Philips)+(GE_X_MFSq)+(PHILIPS_X_MFSq)+(eTIVc_X_MFSq)+(AGEc_X_SEXq)+(eTIVc_X_GE)+(eTIVc_X_PHILIPS)))/RMSE,,DKT40  
agec1,0.005569206,agec1 * agec,3rd_Ventricle_log,SUBCOR 
agec2,9.61E-05,"agec2 * pow(agec, 2)",3rd_Ventricle_log,SUBCOR 
agec3,-4.32E-07,"agec3 * pow(agec, 3)",3rd_Ventricle_log,SUBCOR 
AGEc_X_SEXq,0.000859821,AGEc_X_SEXq * agec * [gender],3rd_Ventricle_log,SUBCOR 
eTIVc1,2.98E-07,eTIVc1 * eTIVc,3rd_Ventricle_log,SUBCOR 
eTIVc2,-1.06E-13,"eTIVc2 * pow(eTIVc, 2)",3rd_Ventricle_log,SUBCOR 
eTIVc3,0,"eTIVc3 * pow(eTIVc, 3)",3rd_Ventricle_log,SUBCOR 
eTIVc_X_GE,0,eTIVc_X_GE * eTIVc * G_[modality_manuf_id],3rd_Ventricle_log,SUBCOR 
eTIVc_X_MFSq,4.53E-08,eTIVc_X_MFSq * eTIVc * [magnetic_field_strength],3rd_Ventricle_log,SUBCOR 
eTIVc_X_PHILIPS,0,eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id],3rd_Ventricle_log,SUBCOR 
GE,0.0460001,GE * G_[modality_manuf_id],3rd_Ventricle_log,SUBCOR 
GE_X_MFSq,-0.052029269,GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength],3rd_Ventricle_log,SUBCOR 
Intercept,2.962001449,Intercept,3rd_Ventricle_log,SUBCOR 
MFSq,0.004393194,MFSq * [magnetic_field_strength],3rd_Ventricle_log,SUBCOR 
Philips,0.001193172,Philips * P_[modality_manuf_id],3rd_Ventricle_log,SUBCOR 
PHILIPS_X_MFSq,-0.032846265,PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength],3rd_Ventricle_log,SUBCOR 
RMSE,0.120901572,RMSE,3rd_Ventricle_log,SUBCOR 
sexq,0.041143997,sexq * [gender],3rd_Ventricle_log,SUBCOR 
Volume,0,[volume],3rd_Ventricle_log,SUBCOR 
agec1,1.721770395,agec1 * agec,4th_Ventricle,SUBCOR 
agec2,0.153724352,"agec2 * pow(agec, 2)",4th_Ventricle,SUBCOR 
agec3,0,"agec3 * pow(agec, 3)",4th_Ventricle,SUBCOR 
AGEc_X_SEXq,0,AGEc_X_SEXq * agec * [gender],4th_Ventricle,SUBCOR 
eTIVc1,0.000930797,eTIVc1 * eTIVc,4th_Ventricle,SUBCOR 
eTIVc2,-2.31E-11,"eTIVc2 * pow(eTIVc, 2)",4th_Ventricle,SUBCOR 
